ID,Epic,Title,Description,Files,Estimate,Dependencies,Owner
TSK-001,EPIC-1,Setup Directory Structure,Create app public and docs folders,All,S,None,Backend
TSK-002,EPIC-1,Setup Router,Implement index.php front controller and basic route matching,public/index.php,M,TSK-001,Backend
TSK-003,EPIC-2,Implement PDO Wrapper,Create DB connection singleton and query helper,app/Repositories/DB.php,M,None,Backend
TSK-004,EPIC-2,Create Migrator,Write a simple PHP script to run SQL files in database/migrations,cli/migrate.php,M,TSK-003,Backend
TSK-005,EPIC-3,Implement JWT Auth,Setup firebase/php-jwt for token generation and verification,app/Utils/JWT.php,M,None,Backend
TSK-006,EPIC-3,Create Auth Middleware,Intercept requests and validate JWT token and Tenant ID,app/Middleware/AuthMiddleware.php,M,TSK-005,Backend
TSK-007,EPIC-4,Build User API,CRUD for Users Roles Permissions,app/Controllers/Api/*,L,TSK-006,Backend
TSK-008,EPIC-5,Build Masters API,CRUD for Doctors Chemists Products,app/Controllers/Api/*,L,TSK-007,Backend
TSK-009,EPIC-6,Build Core Workflow API,Batches Inventory Orders,app/Controllers/Api/*,XL,TSK-008,Backend
TSK-009B,EPIC-6B,Build Territory Management,Territories and Rep Visit Planning,app/Controllers/Api/*,L,TSK-009,Backend
TSK-010,EPIC-7,Audit Logging,Hook DB wrapper to log mutations to audit_logs,app/Repositories/DB.php,M,TSK-003,Backend
TSK-011,EPIC-8,Teardown React,Delete crmpharma-main/src contents entirely,crmpharma-main/*,S,None,Frontend
TSK-012,EPIC-9,Setup AdminLTE,Vendor AdminLTE CSS JS into public/assets,public/assets/*,M,TSK-011,Frontend
TSK-013,EPIC-10,Rebuild Auth & Dashboard,Create PHP views and Vanilla JS for login and dash,views/*,L,TSK-012,Frontend
TSK-014,EPIC-11,Rebuild Workflow UI,Create PHP views and Vanilla JS for Orders Inventory etc,views/*,XL,TSK-013,Frontend
TSK-015,EPIC-14,Cleanup & Archive,Backup old codebase and remove old crmpharma-main,E:/Projects/PHP/Pharma-CRM/*,S,TSK-014,DevOps
